,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Елка,"Материал: ПВХ
Размер: 150 см высота
Упаковка: фабричная коробка

Подставка в комплекте
318 веточек",916,,"4671,22 (1,3)",32-37,,"6072,586",22-27,17 000,10-12,
,,,,,,,,,,,,
 ,Набор 29 шаров + наконечник - звезда,"Материал: пластик
Размер: шар 3 см, наконечник 11*9,5 см, набор 15*12*5 см

Возможные цвета на фото",916,,"348,7 (1,4)",35-40,,"453,31",25-30,3 000,10-12,
,,,,,,,,,,,,
 ,Снежинка,"Материал: пенопласт
Размер: 50 см
Упаковка: ОПП пакетик",11990,,"243,63 (1,3)",35-40,,"316,719",25-30,2 500,10-12,
,,,,,,,,,,,,
 ,Снежинка,"Материал: пенопласт
Размер: 50 см
Упаковка: ОПП пакетик",11990,,"408,28  (1,3)",35-40,,"530,764",25-30,2 500,10-12,
,,,,,,,,,,,,
 ,Снежинка,"Материал: пенопласт
Размер: 25 см
Упаковка: ОПП пакетик",5995,,"55,16 (1,7)",40-45,,"71,708",30-35,2 500,10-12,
