,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,палочки многоразовые,"Материал: нержавеющая сталь, пластик
Размер: 
Упаковка: индивидуальная коробка
Примечание от фабрики: у фабрики есть только синий цвет как на доп фото, красного нет", Дизайн: нанесение лого гравировкой в один цвет на палочки +коробку,500,"1,6","167,9",17-22,,,,4 000,5,15-17,
,,,,600,"1,5","161,1",,,,,,,,
 ,палочки многоразовые,"Материал: нержавеющая сталь, пластик
Размер: палочки 23,5 см, кейс 24,6 см*2,8 см*1,3 см
Упаковка: индивидуальная коробка
Примечание от фабрики: у фабрики есть только красный цвет как на доп фото, синего нет"," Дизайн: нанесение лого UV-печатью в три цвета на коробку, нанесение гравировкой в один цвет на палочки ",500,"2,0","219,9",22-27,,,,10 000,8,18-20,
,,,,600,"2,0","213,1",,,,,,,,
,палочки одноразовые,"Материал: палочки - дерево, тканевый чехол - хлопок
Размер: палочки 23,5 см, чехол - 26 см
Упаковка: OPP-пакетик
Примечание от фабрики: на чехол не наносят лого", Дизайн: нанесение лого в один цвет или простого рисунка гравировкой на основание палочек,500,"2,1","225,7",22-27,,,,11 500,9,19-21,
,,,,600,"2,0","218,8",,,,,,,,
 ,зонтики в китайском стиле,"Материал: набивной ситец, дерево
Размер: купол 82 см, длина рукояти примерно 53 см
Упаковка: заводская упаковка
", Дизайн: нанесение лого цифровой печатью,500,"6,3","688,5",17-22,,,,6 000,5,15-17,
,,,,600,"6,3","681,6",,,,,,,,
 ,"Сумка
Настройка цвета и размера","Материал: нейлон
Размер: 32х17х10 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета в соответствии с цветовой картой", Дизайн: печать либо вышивка,500-600,"10,1","1087,8",35-40,,,,18 400,5-7,45488-45490,
 ,"Сумка
Фабричный вариант","Материал: нейлон
Размер: 31х16х9 см
Упаковка: прозрачный пакет
", Дизайн: печать либо вышивка,500-600,"6,0","645,5",20-25,,,,18 400,7-10,45582-45584,
 ,Папка для документов,"Материал: искусственная кожа
Размер: 21х30 см
Упаковка: прозрачный пакет
Примечание от фабрики: папка прошита нитками, а не запаяна как на картинке ТЗ", Дизайн: тиснение,500-600,"8,8","946,8",35-40,,,,16 600,5-7,45488-45490,
 ,Стикерпак,"Материал: бумага
Размер: А5
Упаковка: прозрачный пакет
", Дизайн: цветная печать по макету клиента,500-600,"1,3","140,0",20-25,,,,Без образца,,10-12,
 ,Стикерпак,"Материал: виниовая пленка
Размер: А5
Упаковка: прозрачный пакет
", Дизайн: цветная печать по макету клиента,500-600,"2,1","222,1",20-25,,,,Без образца,,10-12,
 ,Санитайзеры,"Материал: пластик, антисептик
Размер: 10*6*2 см
Объём: 38 мл
Упаковка: заводская упаковка
", Дизайн: печать 2 цвета,500,"2,0","213,9",32-37,,,,15 000,10,20-22,
,,,,600,"1,8","197,5",,,,,,,,
 ,Адаптеры,"Материал: пластик, медь
Размер: 61*50*55 мм
Цвета: на фото слева
Упаковка: заводская упаковка

Выход: 5 В --- 3,6 А МАКС.
Вход: 100-240 В~50-60 Гц
Номинальный предохранитель: 8А (двойной предохранитель)
Общая мощность постоянного тока: 5 В, 18 Вт
Быстрая зарядка 3USB+TYPE-C
", Дизайн: печать 2 цвета,500,"11,3","1220,6",27-32,,,,9 000,6,16-18,
,,,,600,"11,1","1194,8",,,,,,,,
 ,Адаптеры,"Материал: пластик, медь
Размер: 57*50*50 мм
Цвета: черный, белый, синий
Упаковка: заводская упаковка

Выход USB: Нет
Предохранитель: Нет
", Дизайн: печать 2 цвета,500,"2,6","279,1",27-32,,,,9 000,6,16-18,
,,,,600,"2,5","269,1",,,,,,,,
