,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Образец стоковый ,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Коврик для йоги ,"Материал: tpe
Размер: 183*61, толщина 0.6см
Упаковка: пленка
Примечание от фабрики: лого в пределах 30см"," Дизайн: выкрас в два цвета: черный и светлый, лого клиента на черной стороне -щелкография  ",500,"16,1","1477,6",50-55 дней ,"23,47","2159,5",40-45 дней ,"22637,88 (выкрас+лого), 13893,60 (лого на стоковом цвете)",22-27 дней (10 дней фото ),"3334,88",15-17 дней ,
 ,Коврик для йоги ,"Материал: каучук, обратная сторона - порезиненная поверхность
Размер: 183*61, толщина 0.5см
Упаковка: пленка
Примечание от фабрики: материал обратной стороны не выкрашивается, лого в пределах 30см"," Дизайн: у фабрики есть черный , плюс лого клиента на черной стороне -щелкография  ",500,"38,0","3498,8",50-55 дней ,"48,63","4473,72",40-45 дней ,"20771,87 (стоковый черный +лого клиента )",22-27 дней (10 дней фото ),"11913,71",15-17 дней , 
 ,Махровое полотенце ,"Материал: 100% хлопок
Размер: 140х70
Упаковка: пакет
Примечание от фабрики: "," Дизайн: выкрас в черный, лого - вышивка золотым  ",600,"13,3","1223,7",45-50 дней ,"14,98","1378,55",35-40 дней ,"24667,63 (выкрас+лого), 3899,96 (лого на стоковом цвете)",22-27 дней (10 дней фото ),"3309,72",15-17 дней ,
 ,Тенисная ракетка с чехлом ,"Материал: алюминиевый сплав+нейлон, чехол - полиэстер
Размер: 67,5*27,5
Упаковка: чехол-сумка 
Примечание от фабрики: "," Дизайн:  выкрас ракетки в черный цвет, на сетке лого (лого должно быть простое. не длиное так как места на сетке не много). Чехол. - черный, золотое лого клиента, шелкография ",1000,"10,7","1040,7",45-50 дней ,"13,04","1264,97",35-40 дней ,"14137,47 (лого на чехле)",17-22 дня (5-7 дней фото ),"3304,54",15-17 дней ,
 ,Тенисная ракетка с чехлом ,"Материал: алюминиевый сплав+нейлон, чехол - полиэстер
Размер: 67,5*27,5
Упаковка: чехол-сумка 
Примечание от фабрики: "," Дизайн:  стоковый черный цвет, на сетке лого (лого должно быть простое. не длиное так как места на сетке не много). Чехол. - черный, золотое лого клиента, шелкография ",1000,"10,0","970,7",45-50 дней ,"12,32",1195,35-40 дней ,,,,,
,Бутылка для воды,"Материал: пластик 
Емкость: 780 мл
Упаковка: картонная коробка", Дизайн: печать логотипа два цвета,1000,"4,6","447,0",30-35 дней,"5,35","519,31",20-25 дней,"6504,22 (печать логотипа на бутылке)",13-15 (фото/видео 3 дня),"2060,41",10-12 дней,
,перчатки для гольфа,"Материал: нанометровый тканевый материал
Размер:  23-29
Вес: 50 грамм
Упаковка: пакет ", Дизайн: печать логотипа,200,"6,3","606,1",63-65 дней,"6,51","631,45",53-55 ,"13 418,86",32-33 дня(фото видео 22 дня),"2539,83",10-12 дней,
,мяч для гольфа,"Материал: трехслойный уретан
Размер: 42,8 мм
Вес: 46 грамм
Упаковка: кастомизированная упаковка с логотипом ( 2 шт в упаковке)", Дизайн: мяч черного / белого цвета с печатью логотипа ,1000,"6,3","609,7",60-65 дней,"6,87","666,63",50-55 дней,"11 644,10",32-33 дня(фото видео 22 дня),"2099,6",10-12 дней,
,бутылка для воды,"Материал: AS+PP
Размер: 21,5*6,5 см
Обьем: 500 мл
Упаковка: пакет опп",Дизайн: печать одноцветного логотипа,1000,"2,4","237,8",40-45,"3,02","294,07",30-35,"6 520,01",15-17дней(фото/видео 5 дней),"2011,59",10-12 дней,
