,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Наклейки смоляные ,"Материал: бумага 
Размер:  120х160 мм
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"3,1","269,0",40-45,"3,7","288,9",30-35,5 530,5,10-12,
,,,,8100,"0,7","63,5",40-45,"0,9","67,7",30-35,5 530,5,10-12,
,,,,10000,"0,7","59,2",40-45 ,"0,8","63,5",30-35,5 530,5,10-12,
,Подушка -упаковка,"Материал: вельбоа, внутри подкладка из спандбонда или тафеты, набивка с двух сторон холофайбером, молния скрытая по шву сверху.
Размер:  30х30 квадратная 
Упаковка:  opp пакет 
Примечание от фабрики:  "," Дизайн: в виде символа года, Нанесение дизайна с одной стороны, нанесение логотипа с другой стороны - сублимационная печать (печать на текстиле).",1900,"11,1","950,0",70-75,"13,9","1231,9",60-65,12 795,7,15-17,
,,,,8100,"10,5","931,6",70-75,"13,3","1181,4",60-65,12 795,7,15-17,
,,,,10000,"10,2","897,3",70-75,13.02,"1106,5",60-65,12 795,7,15-17,
,Шапка с ушками (поднимаются),"Материал: полиэстер 
Размер:  диаметр 30, длина 61
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: В виде лошади и в корпоративных цветах МегаФона (зеленый/фиолетовый).,8100,"6,5","551,4",40-45 ,"7,2","614,9",30-35 ,11 928,7,15-17,
,Варежки,"Материал: шерсть 80%,  акриловое волокно 20%,подклад флис 
Размер:  детские 
Упаковка:  opp пакет 
Примечание от фабрики:  "," Дизайн:  вязанный узор. Шильд: жаккард 35 мм*10 мм., корпоративные цвета ",8100,"21,6","1832,6",70-75,"24,5","2083,3",60-65,13 083,14,20-22,
,Шарф ,"Материал: шерсть 80%,  акриловое волокно 20%
Размер:  180х30
Упаковка:  opp пакет 
Примечание от фабрики:  "," Дизайн: Шеврон: жаккард 35 мм*10 мм. Мягкая, плотная вязка., корпоративные цвета ",,,,,,,,,,,
 ,открытка,"Материал: A5,  плотная бумага, глянец, плотность бумаги не менее 250 г/кв.м
Размер: 21*14.8 cm
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"0,2","13,4",35-40,"0,2","13,8",25-30,11 646,5,15-17,
,,,,8100,"0,1","9,7",40-45,"0,1","10,1",30-35,,,,
 ,тюбинг,"Материал: Экологически чистый ПВХ
Размер: 31,7*14*45,7см 
Упаковка:  opp пакет 
Примечание:  ", Дизайн: по макету ,1900,"79,6","6767,2",70-75,"91,6","7784,5",60-65,15 969,15,25-27,
,,,,8100,"79,6","6766,5",75-80,"91,6","7783,8",65-70,,,,
 ,коробка,"Материал: картон
Размер: 44 см *17,5 см* 41cm
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"4,5","384,4",45-50,"4,6","389,4",35-40,11 685,7,17-19,
,,,,8100,"4,5","383,7",45-50,"4,6","388,7",35-40,,,,
 ,плед,"Материал: Фланель
Размер: 100*80cm
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"6,8","579,3",35-40,"7,7","652,4",25-30,10 256,3,13-15,
,,,,,,,,,,,,,,
 ,пазл,"Материал: дерево
Размер: 10*15 cm
Упаковка:  opp пакет 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"13,3","1130,0",50-55,"14,8","1257,2",40-45,12 795,7,17-19,
,,,,,,,,,,,,,,
 ,Набор для лепки,"Материал: пластик 
Размер: ведро 15х14, лопата 45см, морковка 10см
Упаковка:  сетка как на рефе 
Примечание от фабрики:  ", Дизайн: по макету ,1900,"13,3","1190,0",50-55,"14,8","1307,2",40-45,12 795,7,17-19,
