,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Рыцарь,Плюшевая игрушка вип фабрика,"Материал: плюш (по раскладкам от фабрики)
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"20,3","1789,8",60-75,,,,15 000,15,25-27,
,,,,1000,"19,8","1737,6",,,,,,,,
на коньках,,"Материал: плюш (по раскладкам от фабрики)
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"20,6","1815,6",,,,,15 000,15,25-27,
,,,,1000,"20,0","1763,4",,,,,,,,
Дама,,"Материал: плюш (по раскладкам от фабрики)
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"18,3","1609,6",,,,,15 000,15,25-27,
,,,,1000,"17,7","1557,4",,,,,,,,
ученица,,"Материал: плюш (по раскладкам от фабрики)
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"18,0","1583,9",,,,,15 000,15,25-27,
,,,,1000,"17,7","1557,4",,,,,,,,
Спец по специям,,"Материал: плюш (по раскладкам от фабрики)
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"18,0","1583,9",,,,,15 000,15,25-27,
,,,,1000,"17,7","1557,4",,,,,,,,
 ,"Плюшевая игрушка (фабрика утконоса) 
Цена указана за 1 стиль","Материал: плюш (по раскладкам от фабрики), наполнитель - ПП хлопок 
Размер: 40-42 см
Упаковка:  опп-пакет
Примечание от фабрики: 
Внутри игрушки могут добавить шарики для повышения её устойчивости
Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,700,"15,1","1326,5",55-60,,,45-50,24 000,15,25-27,
,,,,1000,"14,5","1274,2",,,,,,,,
