,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,"Термокружка/френчпресс","Материал: нержавеющая сталь, пластик
Объем: 450мл
Цвет: серебристый", Дизайн: гравировка лого клиента,100,"11,1","1 015,02 ₽",35-40,,,,9 500,"Фото 3

Доставка 10-12",
,,,,,,,,,,,,,
,Ланчбокс,"Материал: пластик, силикон
Размер: 10*12*20
", Дизайн: шелкография от 300 шт,100,"10,8","988,5",30-35,,,,4 000,"Фото 5

Доставка 10-12",
,,,,300,"10,1","923,3",37-42,,,,8 500,,
 ,Ланчбокс,"Материал: нержавеющая сталь, пластик, силикон
Размер: 10*12*20
", Дизайн: шелкография лого клиента,100,"14,7","1 338,38 ₽",30-35,,,,8 200,"Фото 4

Доставка 10-12",
,,,,,,,,,,,,,
 ,Органайзер,"Материал: полиэстер
Размер: 245*180*100
Упаковка: ОПП", Дизайн: шелкография лого клинета,200,"6,4","585,8",35-40,,,,5 500,"Фото 6

Доставка 10-12",
,,,,,,,,,,,,,
 ,Футболка,"Материал: хлопок 180 гр
Размер: free-size
Упаковка: ОПП
Цвет: на выбор клиента"," Дизайн: шелкография 1 цвет, без бирки",500,"10,4","947,5",45-50,,,,6 500,"Фото 17

Доставка 10-12",
,,,,,,,,,,,,,
 ,ПЗУ,"Материал: ABS, PU
Размер: 107*66*21 мм
Упаковка: кастомизированная коробочка"," Дизайн: шелкография лого клиента, кастом коробочки",100,"38,4","3505,0",50-55,,,,11 800,"Фото 12

Доставка 10-12",
,,,,,,,,,,,,,
 ,Автомобильная визитка,"Материал: пластик
Размер: 130*35 мм
Упаковка: коробочка", Дизайн: сток кастом от 3000шт,30,"2,2","203,4",27-32,,,,2 800,"Фото 1

Доставка 10-12",
,,,,,,,,,,,,,
 ,Настольная игра QiYi MoFangGe Smart Puzzle Logic,"Материал: пластик, электронные компоненты
Размер: 181*131*27 мм
Упаковка: коробочка", Дизайн: сток (без возможности кастома),50,"26,2","2394,8",35-40,,,,4 500,"Фото 1

Доставка 10-12",
,,,,,,,,,,,,,
 ,Калькулятор Dowell с планшетом для письма,"Материал: пластик, электронные компоненты
Размер: 160*78*12 мм
Упаковка: коробочка
Цвет: черный", Дизайн: наклейка 50 шт,50,"14,4","1336,2",35-40,,,,"8 500,00","Фото 6

Доставка 10-12",
,,,,500,"13,13","1 198,05",45-50,,,,,,
 ,Гироскопический тренажер для кисти,"Материал: Металл, пластик, ПВХ
Размер: 73*73 мм
Вес: 0,27 кг", Дизайн: шелкография от 500 шт,100,"11,1","1012,0",30-35,,,,9 700,"Фото 10-15

Доставка 10-12",
,,,,500,"10,51","958,7",45-50,,,,,,
 ,Колонка,"Материал: пластик
Функции: радио, беспроводное подключение, дистанция 10м, работа без зарядки 10 часов
Упаковка: заводская коробка
Примечание от фабрики: в наборе есть инструкция на английском и провод для зарядки. Доступные цвета см. доп. фото", Дизайн: печать лого (одноцвет),1000,"24,0","2 322,77 ₽",45-50,,,,"9 800,00","Фото 7

Доставка 10-12",
,,,,,,,,,,,,,
 ,Пальчиковый скейтборд,"Материал: пластик
В наборе: два скейта, сменные колесики, отвертка для колесиков
Упаковка: заводская 
", Дизайн: печать лого на поверхвонсти скейта,500,"1,6","145,01 ₽",40-45,,,,"10 600,00","Фото 7

Доставка 10-12",
,,,,,,,,,,,,,
 ,Колонка портативная,"Материал: пластик
Упаковка: заводская коробка
Примечание от фабрики: Цвет: см. доп. фото
Bluetooth-соединение
Диапазон частот: 100 Гц - 20 кГц
Разъём USB
Диапазон подключения 10 метров
LED подсветка", Дизайн: печать лого шелкография (одноцвет),500,"9,5","825,2",30-37,,,,"7 600,00","Фото 3-5

Доставка 10-12",
,,,,,,,,,,,,,
,Плюшевая игрушка,"Материал: плюш
Размер: 25-30 см
Упаковка: опп-пакет
", Дизайн:нет,500,"9,7","889,3",35-40,,,,"3 100,00","Фото 5

Доставка 10-12",
,,,,,,,,,,,,,
,Футболочка на игрушку,"Материал: хлопок
Размер: по размеру котика
Упаковка: опп-пакет
"," Дизайн: печать лого на футболочке, одноцвет",500,"8,4","776,6",30-37,,,,"10 600,00","Фото 5

Доставка 10-12",
,,,,,,,,,,,,,
 ,Плюшевая игрушка,"Материал: плюш
Размер: 20-25 см
Упаковка: опп-пакет
", Дизайн:нет,100,"7,6","697,8",32-37,,,,"8 100,00","Фото 5

Доставка 10-12",
,,,,,,,,,,,,,
 ,Плюшевая игрушка,"Материал: плюш
Размер: 20-25 см
Упаковка: нет
", Дизайн: полный кастом по макету клиента,1000,"17,9","1647,4",50-55,,,,"20 700,00","Фото 14

Доставка 10-12",
,,,,,,,,,,,,,
 ,Приставка,"Материал: пластик
Упаковка: заводская коробка
Примечание от фабрики: в наборе имеется джойстик для друга, подключение через провод. Доступна в голубом и красном цветах", Дизайн: печать лого шелкография,100,"16,7","1 577,17 ₽",40-45,,,,"4 500,00","Фото 3

Доставка 10-12",
,,,,,,,,,,,,,
 ,Вентилятор утка,"Материал: пластик
Размер: 
Упаковка: заводская коробка, инструкция и провод внутри
Примечание от фабрики: прицепляется на веревочку, можно носить на шее", Дизайн: гравировка лого (серый),300,"8,8","825,30 ₽",30-35,,,,"2 600,00","Фото 3

Доставка 10-12",
,,,,,,,,,,,,,
 ,Увлажнитель,"Материал: пластик
Объем: 300мл
Упаковка: заводская коробка
Примечание от фабрики: доступен в белом и чёрном цветах", Дизайн: гравировка лого одноцвет,100,"8,5","802,87 ₽",30-35,,,,"6 600,00","Фото 3

Доставка 10-12",
,,,,,,,,,,,,,
 ,Головоломка орб,"Материал: пластик
Упаковка: опп-пакет
", Дизайн: не кастомится,100,"2,1","189,2",30-35,,,,"2 200,00","Фото 1-2

Доставка 10-12",
,,,,,,,,,,,,,
 ,Ланчбокс,"Материал: PP
Упаковка: опп-пакет
Размер:  211*138*85 мм

В комплекте ложка, вилка, нож (пластик)", Дизайн: шелкография лого клиента (стоковый лого убирается),100,"5,1","473,7",35-40,,,,11 000,"Фото 5-6

Доставка 10-12",
,,,,,,,,,,,,,
 ,Кубик-антистресс,"Материал: пластик
Размер: 3.3х3.3х3.3 см
Цвет: широкий выбор стоковых цветов
Упаковка: индивидуальная коробка", Дизайн: сток,200,"1,8","163,2",30-35,,,,3 500,"Фото 1

Доставка 10-12",
,,,,,,,,,,,,,
 ,Футболка,"Материал: хлопок 260 гр
Размер: free-size
Упаковка: ОПП
Цвет: белый, черный", Дизайн: шелкография 1 цвет + бирка клиента,700 (350+350),"10,8","1000,6",35-40,,,,"3 200,00","Фото 3

Доставка 10-12",
