,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Менеджер,Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец сигнальный,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб",Цена за шт руб КАСТОМ,"Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб",Цена за шт руб КАСТОМ,"Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Света Ч,,"Автомобильный органайзер


","Размеры
в развернутом виде: 44х29х32 см; в сложенном виде: 44х29х4 см
Материал

Нанесение: полиэстер, 600D""        печать 2+0 10*4 см
        
Комментарий: нам нужен бюджет до 1000 руб/шт, какие есть варианты?


","Материал: оксфорд 600D
Размер: 37*32*58 см
Упаковка: индивидуальный пакет", Дизайн: нанесение логотипа шелкография 2+0,1000,"15,0",,"1272,2",55-60,"18,0",,"1531,38",45-50,12 000,6,16-18,
,,,,,,3000,"14,1",,"1194,06",,"16,9",,"1437,54",,,,,
,,,,,,5000,"12,9",,"1095,62",,"15,6",,"1323,39",,,,,
,,,,,,10000,"12,4",,"1057,7",,"15,0",,"1277,61",,,,,
Света Ч,,"Автомобильный органайзер


","Размеры
в развернутом виде: 44х29х32 см; в сложенном виде: 44х29х4 см
Материал

Нанесение: полиэстер, 600D""        печать 2+0 10*4 см
        
Комментарий: нам нужен бюджет до 1000 руб/шт, какие есть варианты?


","Материал: оксфорд 600D
Размер: 56*40*26 см
Упаковка: индивидуальный пакет", Дизайн: нанесение логотипа шелкография 2+0,1000,"9,8",,"834,43",50-55,"12,1",,"1025,17",40-45,7 300,7,17-19,
,,,,,,3000,"9,2",,"784,28",,"11,3",,"963,8",,,,,
,,,,,,5000,"8,9",,"759,56",,"11,0",,"933,47",,,,,
