,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Цена за шт. ($.) АВИА:,Цена за шт. (руб.) АВИА::,Срок тиража ЖД ,Срок тиража авиа,Образец ,Срок образца,Доп. фото
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"6,0","549,9","7,4","675,1",40-45 дней ,30-35 дней,"9010,89",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"7,9","899,8","9,8","720,9",40-45 дней ,30-35 дней,"13825,7",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"8,0","734,1","10,0","913,0",40-45 дней ,30-35 дней,"13825,7",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"6,9","628,5","8,8","807,4",40-45 дней ,30-35 дней,"13825,7",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"5,6","515,6","7,0","640,8",40-45 дней ,30-35 дней,"8855,42",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"6,5","594,8","7,8","718,0",40-45 дней ,30-35 дней,"8855,42",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - А5. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"7,7","705,7","9,1","830,9",40-45 дней ,30-35 дней,"8855,42",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - 320х245мм. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"8,4","772,1","10,2","933,1",40-45 дней ,30-35 дней,"8855,42",17-22 дня (7 дней фото/видео),
,Ежедневник ,"Материал - кожзам. Размер - 320х245мм. Брендирование - на обложке тиснение, лого на каждой странице, на форзаце инфа о компании",300,"5,4","491,8","6,7","617,0",40-45 дней ,30-35 дней,"8855,42",17-22 дня (7 дней фото/видео),
,Ручка ," Черные чернила,  Брендирование - лого и сайт на ручке ",3000,"0,5","49,3","0,7","59,5",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"0,5","47,6","0,6","57,5",45-50 дней ,35-40 дней ,,,
,,,10000,"0,5","43,5","0,6","53,2",50-54 дней ,40-45 дней,,,
,Ручка ," Черные чернила,  Брендирование - лого и сайт на ручке ",3000,"0,6","57,2","0,7","67,4",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"0,6","55,3","0,7","65,2",45-50 дней ,35-40 дней ,,,
,,,10000,"0,6","50,9","0,7","60,6",50-54 дней ,40-45 дней,,,
,Ручка ," Черные чернила,  Брендирование - лого и сайт на ручке ",3000,"0,5","42,1","0,6","52,4",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"0,5","38,6","0,5","48,6",45-50 дней ,35-40 дней ,,,
,,,10000,"0,4","36,0","0,5","45,7",50-54 дней ,40-45 дней,,,
,Ручка ," Черные чернила,  Брендирование - лого и сайт на ручке ",3000,"1,4","127,5","1,6","144,6",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"1,4","123,5","1,5","140,1",45-50 дней ,35-40 дней ,,,
,,,10000,"1,3","114,6","1,4","130,7",50-54 дней ,40-45 дней,,,
,Вечный карандаш, Брендирование - лого и сайт на карандаше,3000,"0,3","22,7","0,3","26,4",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"0,2","21,3","0,3","24,9",45-50 дней ,35-40 дней ,,,
,,,10000,"0,2","20,5","0,3","24,0",50-54 дней ,40-45 дней,,,
,Вечный карандаш, Брендирование - лого и сайт на карандаше,3000,"1,3","120,4","1,4","126,6",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"1,2","111,5","1,3","117,6",45-50 дней ,35-40 дней ,,,
,,,10000,"1,2","107,9","1,2","113,8",50-54 дней ,40-45 дней,,,
,Вечный карандаш, Брендирование - лого и сайт на карандаше,3000,"2,2","200,1","2,4","220,7",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"2,1","194,0","2,3","213,9",45-50 дней ,35-40 дней ,,,
,,,10000,"2,0","183,0","2,2","202,3",50-54 дней ,40-45 дней,,,
,Вечный карандаш, Брендирование - лого и сайт на карандаше,3000,"0,3","25,6","0,3","29,3",40-45 дней ,30-35 дней,"5841,67",17-22 дня (7 дней фото/видео),
,,,5000,"0,3","23,3","0,3","27,0",45-50 дней ,35-40 дней ,,,
,,,10000,"0,2","21,5","0,3","25,0",50-54 дней ,40-45 дней,,,
,Шоппер ,Материал - парусина. Размер - 35х40мм. Брендирование - лого 2-3 цвет ,300,"3,5","320,5","4,4","403,8",40-45 дней ,30-35 дней,"6214,81",17-22 дня (7 дней фото/видео),
,Шоппер ,Материал - парусина. Размер - 32х25мм. Брендирование - лого 2-3 цвет ,300,"6,3","574,9","7,7","702,6",40-45 дней ,30-35 дней,"6370,28",17-22 дня (7 дней фото/видео),
