,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка АВИА,,,Образец,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,1,"Материал: стекло
Размер: 100 мл",1000,"2,5","244,14",35-40,"1 900,00","Фото - 1-2
Доставка - 10-12",
,,,5000-7500,"2,37","231,3",,,,
,"1,1","Материал: стекло, металл
Размер: 250 мл",1000,"4,34","423,1",32-37,"2 400,00","Фото - 1-2
Доставка - 10-12",
,,,5000-7500,"4,32","421,68",,,,
 ,2,"Материал: стекло, металл
Размер: 250 мл",1000,"5,65","551,12",35-40,"2 600,00","Фото - 1-2
Доставка - 10-12",
,,,5000-7500,"5,6","546,85",,,,
 ,3,"Материал: стекло
Размер: 250 мл",1000,"5,03","490,47",35-40,"2 500,00","Фото - 1-2
Доставка - 10-12",
,,,5000-7500,"4,94","481,9",,,,
 ,5,"Материал: стекло
Размер: 100* 37 мм",1000,"1,07","104,04",16-21,2 200,"Фото - 1-2
Доставка - 10-12",
,,,5000,"1,06","103,19",,,,
,,,7500,"1,05","102,62",,,,
 ,6,"Материал: стекло, бамбук, силикон
Размер: 60*80 мм (150 ML)",1000,"2,89","281,95",22-27,"2 800,00","Фото - 1-2
Доставка - 10-12",
,,,5000 - 7500,"2,61","254,47",25-30,,,
 ,"6,1","Материал:  Боросиликатное стекло, бамбук, силикон
Размер: 60*100 мм (270 ML)",1000,"3,17","309,08",22-27,"2 800,00","Фото - 1-2
Доставка - 10-12",
,,,5000 - 7500,"2,89","281,81",25-30,,,
 ,7,"Материал:  Боросиликатное стекло, бамбук, силикон
Размер: 70*89 мм (220 ML)",1000,"7,3","712,75","17-22

","2 800,00","Фото - 1
Доставка - 10-12",
,,,5000 - 7500,"6,82","665,44",17-22,,,
 ,4,"Материал: стекло, пробковое дерево
Размер: 250 мл",1000,"3,9","380,93",30-40,"2 400,00","Фото - 1-2
Доставка - 10-12",
,,,5000-7500,"3,86","376,66",,,,
