,"Менеджер: Эмина Арина
Email: arinae@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Носки с принтом без коробки,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: принт по макету ,500,"1,9","170,2",40-45,"2,01","184,69",30-35,"6 500,00",15-19,
,,,,1000,"1,83","168,5",40-45,"1,99","182,99",30-35,,,
,,,,3000,"1,8","162,1",40-45,"1,92","176,54",30-35,,,
,,,,5000,"1,76","161,83",40-45,"1,92","176,32",30-35,,,
,,,,10000,"1,67","153,59",40-45,"1,82","167,82",30-35,,,
 ,Носки с принтом с коробкой （тираж указан в парах),"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: принт по макету + коробка (в одной коробке три пары),500,"2,1","189,0",40-45,"2,22","203,88",30-35,"6 500,00",15-19,
,,,,1000,"2,04","187,27",40-45,"2,2","202,18",30-35,,,
,,,,3000,"2,0","180,8",40-45,"2,13","195,74",30-35,,,
,,,,5000,"1,96","180,61",40-45,"2,13","195,52",30-35,,,
,,,,10000,"1,87","172,04",40-45,"2,03","186,69",30-35,,,
 ,"Носки с принтом с коробкой （тираж указан в тубусах, в каждом 3 пары)","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: принт по макету + коробка (в одной коробке три пары),500,"5,3","489,7",40-45,"5,49","504,64",30-35,"6 500,00",15-19,
,,,,1000,"5,3","488,03",40-45,"5,47","502,94",30-35,,,
,,,,3000,"5,1","471,0",40-45,"5,28","485,88",30-35,,,
,,,,5000,"5,12","470,75",40-45,"5,28","485,66",30-35,,,
,,,,10000,"4,85","446,63",40-45,"5,01","461,27",30-35,,,
