,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,упаковка (носочек),"Материал: Флис-слоистый композитный поролон
Размер: 40*20 
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"4,2","353,3",55-60,"5,0","421,9",45-50,1 905,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (носочек),"Материал: Флис-слоистый композитный поролон
Размер: 40*20 
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: лого (шелкография/термоперенос),1500-2000,"4,7","403,0",55-60,"5,6","471,6",45-50,7 823,5,15-17,
,,,,,,,,,,,,,,
 ,упаковка (мешок для конфет),"Материал: шерсть
Размер: 30*40
Упаковка: инд пакет
Примечание от фабрики: 90 грамм", Дизайн: сток,1500-2000,"3,2","272,0",35-40,"3,3","276,6",25-30,1 647,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (коробка),"Материал: Бумага/картон
Размер: 13*11.5*8CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"1,6","136,3",30-35,"2,4","203,9",20-25,1 768,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (коробка),"Материал: Бумага/картон
Размер: 13*11.5*8CM
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого （горячее тиснение, есть возможноть изменить цвет коробки на цвет клиента",1500-2000,"2,6","223,3",30-35,"3,4","291,0",20-25,7 870,10,20-22,
,,,,,,,,,,,,,,
 ,упаковка (зип пакет),"Материал: ПЭ
Размер: 22,5*15,3*3CM
Упаковка: инд пакет
Примечание от фабрики: в одной упаковке - 100 штук", Дизайн: сток,1500-2000,"3,3","280,3",30-35,"4,3","365,1",20-25,2 211,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (зип пакет),"Материал: ПЭ
Размер: 22,5*15,3*3CM
Упаковка: инд пакет
Примечание от фабрики: в одной упаковке - 100 штук"," Дизайн: лого （горячее тиснение, есть возможноть изменить цвет коробки на цвет клиента",3000,"4,6","394,1",30-35,"5,6","478,9",20-25,8 723,5,15-17,
,,,,,,,,,,,,,,
 ,упаковка (коробка для конфет),"Материал: оцинкованная сталь
Размер: 10,5*10.5*11CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"4,6","392,3",30-35,"6,5","551,3",20-25,2 947,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (коробка для конфет),"Материал: оцинкованная сталь
Размер: 10,5*10.5*11CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: полная запечатка,10000,"5,2","444,8",30-35,"7,1","603,8",20-25,8 988,10,20-22,
,,,,,,,,,,,,,,
 ,упаковка (мешок),"Материал: органза
Размер: 10*15cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"0,4","32,0",30-35,"0,4","37,1",20-25,1 417,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (яйцо),"Материал: pp
Размер: 28*36 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"11,0","937,0",45-50,"15,9","1350,3",35-40,3 808,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (яйцо),"Материал: pp
Размер: 28*36 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого (печать/шелкография), цвет и рисунок можно изменить",1500-2000,"12,1","1024,1",55-60,"16,9","1437,3",45-50,19 371,10,20-22,
,,,,,,,,,,,,,,
 ,упаковка (пакет),"Материал: крафт-бумага; картон
Размер: 14*7*20 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1500-2000,"0,6","48,9",30-35,"0,6","53,9",20-25,1 487,2,12-14,
,,,,,,,,,,,,,,
 ,упаковка (пакет),"Материал: крафт-бумага; картон
Размер: 14*7*20 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого (цветная печать), можно также поменять цвет самого пакетика",1500-2000,"1,6","135,9",45-50,"1,7","141,0",35-40,5 541,15,25-27,
