,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Корзина ,"Материал: ротанг 
Размер: 32х20х35
Упаковка: 
Примечание от фабрики:  без  столовых приборов", Дизайн: внутреннюю ткань можно сделать однотонной  по карте цветов от фабрики ,100,"71,4","6821,8",45-50 ,"98,8","9288,8",35-40,15 300,7-10,20-22,
,Корзина ,"Материал: ротанг 
Размер: 45х26х26
Упаковка: 
Примечание от фабрики: без  столовых приборов", Дизайн: внутреннюю ткань можно сделать однотонной  по карте цветов от фабрики ,100,"75,7","7216,7",45-50 ,"102,6","9831,1",35-40,15 300,7-10,20-22,
,Корзина ,"Материал: ротанг 
Размер:  46х30х24
Упаковка: 
Примечание от фабрики: без  столовых приборов", Дизайн: внутреннюю ткань можно сделать однотонной  по карте цветов от фабрики ,100,"70,5","6742,8",45-50 ,"97,3","9057,2",35-40,15 300,7-10,20-22,
,Холодильник для напитков 20 литров ,"Материал: внутри нержавеющая сталь, снаружи pp пластик 
Размер:  57х37х42
Упаковка: 
Примечание от фабрики: "," Дизайн: выкрас чемодана в один цвкт, лого 1 цвет  ",100,"162,9","14662,6",70-75,"209,2","18824,2",60-65,28 427,5-7,15-17,
,Холодильник для напитков 50 литров ,"Материал: внутри нержавеющая сталь, снаружи pp пластик 
Размер:  47х26х30
Упаковка: 
Примечание от фабрики: "," Дизайн: выкрас чемодана в один цвкт, лого 1 цвет  ",100,"257,5","23170,2",70-75,326.81,"29412,6",60-65,40 663,5-7,15-17,
,Подставка для бутылок (24шт),"Материал: акрил 
Размер:  48х28х18
Упаковка: коробка
Примечание от фабрики: корзина может светить 7ю цветами ", Дизайн: лого 1 цвет ,100,"75,1","6762,5",40-45 ,"88,9","7818,2",30-35,14 023,5-7,15-17,
,Подставка для бутылок (24шт),"Материал: акрил 
Размер:  48х28х18
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого 1 цвет ,100,"73,7","6630,9",40-45 ,"85,4","7686,6",30-35,14 023,5-7,15-17,
,Емкость для льда,"Материал: pp пластик 
Размер:  высота 7,5, ширина 8,85
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого 1 цвет ,100,"25,5","2293,9",40-45,"30,2","2716,2",30-35,10 352,5-7,15-17,
,Емкость для льда,"Материал: pp пластик 
Размер:  29х25
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого 1 цвет ,100,"43,3","3900,8",40-45,"49,7","4473,9",30-35,14 688,5-7,15-17,
,Емкость для льда 3 литра ,"Материал: нерж сталь 
Размер:  20х21
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого  лазер ,100,"33,0","2970,3",40-45,"37,0","3328,0",30-35,7 572,5-7,15-17,
,Емкость для льда 2 литра ,"Материал: нерж сталь 
Размер:  18,5х13
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого  лазер ,100,"24,5","2205,3",40-45 ,"27,2","2443,7",30-35,7 572,5-7,15-17,
,Емкость для льда ,"Материал: нерж сталь 
Размер:  20х21
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: лого  лазер ,100,"22,3","2006,4",40-45 ,"24,7","2223,1",30-35,7 572,5-7,15-17,
,"Емкость для льда 0,8л","Материал: стекло 
Размер:  12х12
Упаковка:  коробка 
Примечание от фабрики:  горизонтальное лого не больше 4см, вертикальное лого не больше 12см", Дизайн: лого  лазер ,100,"13,8","1244,2",40-45 ,"19,3","1738,2",30-35,5 124,5-7,15-17,
,колонка,"Материал: пластик
Размер:  98*98*88мм
Упаковка:  коробка 
Примечание от фабрики:  ", Дизайн: лого  одноцвет,100,"27,729","2495,62",50-55,"19,3","1738,2",40-45,6 000,5,15-17,
,Емкость для льда и бутылок,"Материал: нерж сталь 
Размер:  12*19
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: сток,100,"12,273","1104,57",27-32,"14,214","1279,25",17-22,2 000,2,12-14,
,Емкость для льда и бутылок,"Материал: стекло
Размер:  15*13
Упаковка:  коробка 
Примечание от фабрики: ", Дизайн: одноцветный логотип,100,"64,689","5821,97",45-50,"82,896","7460,60",35-40,15 000,7,17-19,
