,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 40 х 12 х  30 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте", Дизайн: полный кастом по макету клиента,300,"28,6","2654,7",85-90,"31,4","2 918,23",75-80,"8 400,00",21,31-33,
,,,,500,"27,9","2598,1",,"30,8","2861,6",,,,,
,,,,1000-1500,"27,5","2555,6",,"30,31","2819,05",,,,,
,,,,2000,"26,7","2479,6",,"29,41","2735,31",,,,,
 ,Поясная сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"9,8","912,8",85-90,"10,52","978,67",75-80,"3 800,00",21,31-33,
,,,,500,"9,6","896,9",,"10,35","962,8",,,,,
,,,,1000-1500,"9,3","868,0",,"10,04","933,89",,,,,
,,,,2000,"9,1","841,7",,"9,74","905,6",,,,,
 ,Шоппер,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"16,2","1503,8",85-90,"17,76","1 651,40",75-80,"5 000,00",21,31-33,
,,,,500,"15,9","1474,4",,"17,44","1621,92",,,,,
,,,,1000-1500,"15,5","1445,5",,"17,13","1593,02",,,,,
,,,,2000,"15,1","1402,1",,"16,62","1545,34",,,,,
 ,Косметичка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"8,5","794,0",85-90,"9,17","853,25",75-80,"3 500,00",21,31-33,
,,,,500,"8,3","769,0",,"8,91","828,31",,,,,
,,,,1000-1500,"8,2","759,6",,"8,81","818,91",,,,,
,,,,2000,"7,9","736,5",,"8,54",794,,,,,
