,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Зонт,"Материал: полиэстер, водонепроницаемая ткань, металлический сплав
Размер: 105 см в диаметре
Упаковка: опп-пакет
Примечание от фабрики: широкий выбор цветов
Полуавтоматиечская модель", Дизайн: печать лого одноцвет,300,,,,"11,62","1 164,71",25-30,,,
,,,,,,,,,,,,,
 ,ПЗУ,"Материал: пластиковый корпус
Размер: 130*70*15 мм
Упаковка: заводская упкаковка
Примечание от фабрики: мощность 10000 mah
Доступные цвета: белый и черный", Дизайн: печать лого одноцвет,250,"7,2","721,7",35-40,,,,,,
,,,,,,,,,,,,,
 ,Рюкзак,"Материал: ткань оксфорд
Размер: 29*12*41 см
Упаковка: нет
Примечание от фабрики: type-c разъем для проводной зарядки телефона
Доступные цвета: серый, черный, красный, синий
Два внутренних кармана
Внешний передний карман на молнии и два открытых боковых кармана", Дизайн: печать лого одноцвет,500,,,,"14,43","1446,2",25-30,,,
,,,,,,,,,,,,,
 ,Колонка,"Материал: пластик
Размер: 9*4 см
Упаковка: заводская коробка
Примечание от фабрики: беспроводное подключение
Дальность действия 10 м
Есть аукс и радио", Дизайн: печать лого одноцвет (кастом только от 1000 шт.),1000,,,,"8,72","873,62",27-32,,,
,,,,,,,,,,,,,
 ,Бутылка,"Материал: снаружи нержавеющая сталь 201; внутри - нержавеющая сталь 304
Размер: 500 мл
Упаковка: белая коробка
", Дизайн: лого клиента могут сделать методом лазерной гравировки на корпусе бутылки ,150,,,,"7,38","739,29",25-30,"6 300,00",Фото 3-5 Доставка 10-12,
,,,,,,,,,,,,,
 ,Бутылка,"Материал: тритан
Размер: 500 мл
Упаковка: заводская коробка
Примечание от фабрики: возможные цвета - синий, голубой, розовый, зелёный, серый, чёрный; на такой тираж могут сделать лого клиента, но на бутылке также останется заводское лого", Дизайн: лого клиента могут сделать методом печати на корпусе бутылки ,150,,,,"14,13","1416,21",25-30,"7 800,00",Фото - 7 Доставка 10-12,
,,,,,,,,,,,,,
 ,Ручка,"Материал: пластик
Размер: 141 мм
Упаковка: пакет
Примечание от фабрики: стержень - 1 мм, пуш тип; возможные цвета см. в доп. фото.", Дизайн: лого клиента могут сделать методом УФ-печати на белом хвостике ручки,500,,,,"0,49","49,43",25-30,,,
,,,,,,,,,,,,,
 ,Шопер,"Материал: полиэстер, хлопок
Размер: 32*38 см
Упаковка: пакет
", Дизайн: лого клиента могут сделать методом УФ-печати на самом товаре,500,,,,"2,81","281,97",25-30,,,
