ID,Название,Ошибок_x10,Всего,%,URL
966,[Просчет-РФ] Екатерина Мишина (Долина) / Газпромбанк Автолизинг_Сувенирная лавка 19-02-2025,68,73,93.2%,https://docs.google.com/spreadsheets/d/1NaKk9PCAe-SrKUuz5KEa5sZT77buv3_iW1tqOqZnDHs
2385,[Просчет-РФ] Юлия Крошево / Раздатка на фестиваль капусты 29-05-2025,66,70,94.3%,https://docs.google.com/spreadsheets/d/1vrAoJuT5hLoFAdODhFruQ7XwFfKKyMB47L5sOoKeIZs
961,[Просчет-РФ] Анна Русакова Иллан / Каталог ВТБ 05-02-2025,65,67,97.0%,https://docs.google.com/spreadsheets/d/1k4rCVMXZJ7vTfTCS9eUeajrfAdZIA1ZR14w7LiIT_c8
2787,[Просчет] Ольга Стародубцева Иллан / шнурок/термос/брелок/сумка/бутылка/носки_40-270_СБЕР_КГИ_ММ 03-04-2025,64,64,100.0%,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM
1153,[Просчет-РФ] Мерч для сотрудников,64,72,88.9%,https://docs.google.com/spreadsheets/d/121KJu27cmU5QJajFgwfjIhnD4RqhlBESF2P2qN9eMAs
2696,[Просчет] Ольга Стародубцева Иллан / свеча/сумка/картхолдер/кросс-боди/кружка/брелок_50/100/250_МТС Музыка_КГИ_ММ 18-03-2025,62,70,88.6%,https://docs.google.com/spreadsheets/d/1qmK1w9Y7sfU_1NE8sg1ERebv2O-KkcWZBeCfacSVr-o
2867,"[Просчет] ООО ""КГИ"" / Обновление прайса_Палитра_ММ 22-01-2025",62,80,77.5%,https://docs.google.com/spreadsheets/d/1xtUs5Pn3DRK78ISC78Cvr7QAYmGruyaxAZntITDiGGo
2912,"[Просчет] МТС / ПЗУ, панама, жесткий диск_МТС_КГИ_ММ 30-01-2025",60,60,100.0%,https://docs.google.com/spreadsheets/d/1kg_QUd5sVXhfeEp66gTqamAWbRm1yUYWJQK9kluXwp8
2433,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Цепочка с подвеской_1000_Альфа-банк_КГИ_ММ 07-05-2025,60,60,100.0%,https://docs.google.com/spreadsheets/d/1WGtrKk5gNN2FbmHl4yLsF2bK6S9k4jeJ9KyMCUmxMEY
547,[Просчет-РФ] Ручки и Шоппер,60,60,100.0%,https://docs.google.com/spreadsheets/d/1ycrA1M3M3t14rhk7gM5u7pBEMqC5BQyha2J6872-RnY
568,[Просчет] Ксения Щербакова Иллан / Конструктор т1 14-05-2025,60,60,100.0%,https://docs.google.com/spreadsheets/d/1CA8dacU2hedgP3Y4hPJA5zysnyW6bfpukxtt1eU-vW8
832,[Просчет] Дарья Ельницкая / Расчет (Универсальная позиция)_сувенирная продукция для форума_400шт_ПСБ_КГИ - МЕГАМАЙНД 07-03-2025,58,66,87.9%,https://docs.google.com/spreadsheets/d/1UPc8lxrxKVEhcYxBNGNVLPHCeCwsv1cQLawjuUSRBEE
1435,[Просчет] Екатерина Елагина / Расчет _Благотворительная кампания_5000 и 10 000 шт_ПСБ_Промогифтс_ММ 10-09-2024,58,58,100.0%,https://docs.google.com/spreadsheets/d/1uEUtanqhRtjqiXrDKkZCBOywi_VEioMQXerSkk5qt3o
1183,[Просчет] Юлия Антонова Иллан / ПЗУ HAVIT 14-11-2024,58,58,100.0%,https://docs.google.com/spreadsheets/d/1YbvtaHS7jImrGNoXac8vM8J00BL88vRj4lVfVuJCnRI
187,[Просчет-РФ] Ваня Бочаров / Фестиваль MEDIA LAB FEST 16-07-2025,57,57,100.0%,https://docs.google.com/spreadsheets/d/180_wVdpXy8O5Fm7KvviS5fctEdapJpEWCzbDGX3afbU
1204,[Просчет] ООО Кастомлаб / Запрос на гендер 18-11-2024,56,94,59.6%,https://docs.google.com/spreadsheets/d/1EZYKFMOGIAbFpHNKwmVA8w5YYN0XBh-o-uG6-csrRd8
533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,56,58,96.6%,https://docs.google.com/spreadsheets/d/10ldVut6r_braEbFOHA0mUl0EA6Oijq1_smIYyEqxgkA
2916,[Просчет] Ольга Стародубцева Иллан / фоторамка/проекторы/зонт_50_ПКВС_КГИ_ММ 13-01-2025,54,62,87.1%,https://docs.google.com/spreadsheets/d/1aLs5pfZugvvu3W_fhPN5quJujYRS0LV0k2FtE5hcM14
851,Расчет (Универсальная позиция)_Рюкзак Palitra_500/100_NL_Промогифтс_ММ,54,60,90.0%,https://docs.google.com/spreadsheets/d/155vdvdgfM6YxU2QkgI7nnv0vc85MZx4qKHaAVI00P_k
2893,[Просчет-РФ] Мерч,54,54,100.0%,https://docs.google.com/spreadsheets/d/1rBkFNKJzfNgjQScKwp5CWazdvIZfKX1Ww8_75QNM-MU
1037,[Просчет] Екатерина Майорова / просчет FESCO 26-02-2025,54,54,100.0%,https://docs.google.com/spreadsheets/d/1jfkoHXicoPhqUQP6piUl2zR6sTf6qrwXLuTjgqzZAms
1022,"[Просчет] Екатерина Литвина / Расчет _сумки, колонки, корзины _ 100 шт_ Балтика _КГИ_Мегамаинд 26-02-2025",54,54,100.0%,https://docs.google.com/spreadsheets/d/1UL1oAjBkKJgV1ZEqliaAimUpOPc40JOSqTIkummzq0I
2650,[Просчет-РФ] FW: мерч- 1212 (премиум наборы для Лизинга),52,58,89.7%,https://docs.google.com/spreadsheets/d/1lUTcumGg1DOthKRb4bety8I_f1DML8DcvvpIiLHxwCI
1416,[Просчет] Екатерина Hard Hold / продукция для салона красоты 09-09-2024,52,52,100.0%,https://docs.google.com/spreadsheets/d/12tu-z8_6nCnSZevcDdsxJLLZpRg6-TkrPAKzuTaYwAk
2961,[Просчет] ООО Кастомлаб / Вешалки 24-12-2024,52,52,100.0%,https://docs.google.com/spreadsheets/d/1sGg7M6PuaZ58UHnGk2C0Q0lM1IWLQH2NClexE-1NNUs
2432,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Расчет адаптированых стм_300-500-1000_Т-банк_КГИ_ММ 26-05-2025,52,52,100.0%,https://docs.google.com/spreadsheets/d/1AooB1IjqsdNHYUwt-D6LhOfKV_I22yfWBsYH_NN1pKo
790,[Просчет-РФ] Лиза Иллан / Т-банк для КАСКО подарки / 500/1000/1500 шт,51,51,100.0%,https://docs.google.com/spreadsheets/d/1S-kVxser_AbC3mXsYL1kYr07ESC_Uucf8S2JOc9brjQ
1235,[Просчет-РФ] Ксения Щербакова Иллан / Тедди - 300/500/1000/1500/2000 шт 21-11-2024,50,50,100.0%,https://docs.google.com/spreadsheets/d/1yqA0KTRowKq1sA5dWfRbAzDYG0qfqdrT7kkrbPe3RM4
1180,"[Просчет] Мария Княгинина / Значки, подложки _ МТС_КГИ_ММ 14-11-2024",50,50,100.0%,https://docs.google.com/spreadsheets/d/1_OLXHsXbF2vxUaykIcxUq17j52gAd7VQXBF-yOkws8A
2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,48,48,100.0%,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
2864,"[Просчет-РФ] Мария Княгинина / Игрушки - 5000 шт., 10 000 шт. и 20 000 шт 06-02-2025",48,118,40.7%,https://docs.google.com/spreadsheets/d/10saY1-_x2vUTZq24QcSTxprZ-ZCkNS8stlHjqAa3B4Y
908,[Просчет-РФ] Настя Иллан / Сувенирное развитие коллекций Farforite,48,48,100.0%,https://docs.google.com/spreadsheets/d/17PGGgh_Z7067yAV9Gcssd0b8NC-mUVH4pAFVtNy6e6I
2630,[Просчет-РФ] ООО Кастомлаб / Билайн мерч фестиваль 25-04-2025,48,58,82.8%,https://docs.google.com/spreadsheets/d/1N61E4Rf-ko7eapMJVDpvWx0_eojrfkj8thzGjYlqKew
2383,[Просчет-РФ] Элен Веера 1000 шт / 30-05-2025,48,48,100.0%,https://docs.google.com/spreadsheets/d/1ky5wO_cdsadxs3dgayCotFLfuLFgaMwaCgG2IBPwRXo
2796,"[Просчет] Елизавета Шелопаева / Расчет_Шнуры для телефона, брелоки_2000/2500/5000_Билайн_КГИ_MegaMind 04-04-2025",48,48,100.0%,https://docs.google.com/spreadsheets/d/1tbynoiW7HWQx331JYPp2eAm9zEpq4mS7gBqf7JCzUKA
2542,[Просчет-РФ] Елена Too Many Gifts / 22-05-2025,48,48,100.0%,https://docs.google.com/spreadsheets/d/1qIGPCUKcB9RClojGl8Gj0TfRiBJbfL0PsWXqEZZwiXw
1244,[Просчет] Ксения Щербакова Иллан / Расчет (Универсальная позиция)_Палитра_Китай_тираж_Т1_КГИ_ММ 22-11-2024,48,62,77.4%,https://docs.google.com/spreadsheets/d/15A3YNllOe4vrj10_x9YzKEOCz74y33S7vW-6xtRf8io
1091,[Просчет-РФ] Елизавета Постных Иллан / Иллан/ТБанк/ Компрессор/сумка/перчатки/набор для ремонта шин/налобный фонарик_1000/2000/3000 06-12-2024,46,46,100.0%,https://docs.google.com/spreadsheets/d/1e7cP6L_gNcfQ--uJnM6qxexFj4e8CAXbFpkP8kj02Pw
2373,[Просчет-РФ] ТЗ по POSM,46,46,100.0%,https://docs.google.com/spreadsheets/d/1lLNdg3dP_sT3kfBkquHeUPoxUHzAcmKf-ACZCKqn-aw
807,"[Просчет] Татьяна Тихонова Иллан / Расчет (Универсальная позиция)_Пледы, сумка, салфетки и тд_100/200/500_Билайн_КГИ_ММ 05-03-2025",46,54,85.2%,https://docs.google.com/spreadsheets/d/19N-Ca-DX19F3oyqiQ5NNuSN1BHbruVET6FOgvpzj2cM
1086,[Просчет-РФ] Детские наборы,45,45,100.0%,https://docs.google.com/spreadsheets/d/1gHxB2bsqdMuYTe-Y6JuZDg9dCfJd_Y8nbGv-p8_0AaQ
896,[Просчет] Юлия Судакова / Таблетницы 26-03-2025,44,56,78.6%,https://docs.google.com/spreadsheets/d/1Xu0461D7V1jSFnVBwb20REDjGT_Y1bRZZu3y_H8itB4
1252,"[Просчет-РФ] подарочные фетровые сумки под бутылки, тираж 7000 шт.",44,44,100.0%,https://docs.google.com/spreadsheets/d/1zh77AVHIdxOTs2p3U7SsvRHI7Z5MfpuqyJ_b4ybkErQ
2611,[Просчет-РФ] Ксения Щербакова Иллан / Расчет (Универсальная позиция)_Тендер_Сувенирка_Полиграфия_50-5000 шт_Ростелеком B2B 10-06-2025,44,56,78.6%,https://docs.google.com/spreadsheets/d/1SJ9kVAWMb8-JjqSoAo-nPZ-a9v7EehdF-siE1NbYHS4
2706,[Просчет-РФ] Полина Тарнополь / Бьюти товары 6 штук 19-03-2025,44,48,91.7%,https://docs.google.com/spreadsheets/d/1LY692L4Zq9Dr0BtjS4JEwGaZsQtuoRb0Kgpf1ADfhLw
3024,[Просчет] Елизавета Постных Иллан / Москва туризм 04-10-2024,44,44,100.0%,https://docs.google.com/spreadsheets/d/155PgnXWVJjE3xy-c047yzGHBLMIYDB7VghVTYOg5Bgo
3000,[Просчет] Ванпрайскофе- Megamind МЕРЧ,42,45,93.3%,https://docs.google.com/spreadsheets/d/1Oeywwu4Hqn05kRxhWPGvUBG_knNvwhQttWlU76shcXI
699,[Просчет] Дарья Ежова / НСПК_Новый год_2800 шт 09-04-2025,42,42,100.0%,https://docs.google.com/spreadsheets/d/1a4hwVRinB3smeFu6PE9OUGO6rgPJReghn4cjLM0374M
2550,[Просчет-РФ] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Расчет адаптированых стм_300-500-1000_Т-банк_КГИ_ММ 26-05-2025,42,60,70.0%,https://docs.google.com/spreadsheets/d/1Dzq4hpiyy0_bVMIr6FtZNT3_HMFZ2EeYSYHFJD0GISw
529,[Просчет-РФ] Подборка новогодние подарки ТТМ 50-150 шт.,42,42,100.0%,https://docs.google.com/spreadsheets/d/15dhafS3cGZxigT5Rf7amVcf_9lmnOiNgqjheb9ouWqU
725,[Просчет-РФ] ООО Квадрат-С,42,42,100.0%,https://docs.google.com/spreadsheets/d/1BbsTYIXrMMeAD-teHdekE9xVbozDMCBt3egmnDpNaFA
1447,[Просчет] Megamind.ru - OnePriceCoffe запрос на мерч.,42,45,93.3%,https://docs.google.com/spreadsheets/d/1UO_ljYwZ9mpdZrrsuHBfus6tLgoTDlknRuuHVAo8F9U
1136,[Просчет-РФ] Александра / Пауэры - 100 / 300 / 500 / 1000 шт 16-12-2024,42,54,77.8%,https://docs.google.com/spreadsheets/d/1RI5BF5gw6hyjdxK3zFAA6w8DfStyhK3gb1YnvF7C3yE
751,"[Просчет] ООО ""КГИ"" / Косметички 14-04-2025",42,54,77.8%,https://docs.google.com/spreadsheets/d/14oG6PpqgVaxVmStIW_ewf9bfPwRBdqhpxxKzp6_Tmfg
2778,[Просчет] Полина Вальницкая / ПРОРАБОТКА НЕОБЫЧНЫХ ЕЖЕДНЕВНИКОВ С ММ 03-04-2025,40,40,100.0%,https://docs.google.com/spreadsheets/d/1O-9rH1yU9t0InwVXNfpI_-LefZe4HMp_p9dpiORezUk
2430,[Просчет] Елизавета Постных Иллан / просчет елочных игрушек 26-05-2025,38,38,100.0%,https://docs.google.com/spreadsheets/d/1n45Mz_MVas1m1QmBq1hSfTE3-WBxHedcZ1UZZR5NTag
516,[Просчет-РФ] Ольга TooManyGifts / Подушки Ящики 3000 шт. / ТМГ 04-06-2025,38,38,100.0%,https://docs.google.com/spreadsheets/d/13QBRNCeykDvuZMJwIfYdDs4BJJEW2KLtwcgvDBqRFdU
901,[Просчет-РФ] Мария Княгинина / скакалка_варежки _500/700/1000 27-03-2025,38,39,97.4%,https://docs.google.com/spreadsheets/d/1fOEcTL0MyA34C7k_CETNK6DnhCnd-A2gIVDTsy_BoWE
2358,[Просчет-РФ] Сувенирная продукция и корпоративные подарки,38,38,100.0%,https://docs.google.com/spreadsheets/d/1dnhQD2WIVzX0Wt5nU9hICVd-bNSTk18mK4BIg9lmHMo
1379,[Просчет] диана / 03-09-2024,38,38,100.0%,https://docs.google.com/spreadsheets/d/13HA4sfjs5eEooYX4LCfYn0Tk8hd9rU8tYNn5Ia2I1Kc
817,[Просчет-РФ] Виктория Яндекс / реконфа (сентябрь 2025) / 400 шт,38,38,100.0%,https://docs.google.com/spreadsheets/d/1fwcLXh3LHAIcRnAtvfzQFrbqr3o8rVYoYmZFxYdcsLQ
825,[Просчет-РФ] Лиза Иллан / чемоданы Т-банк,36,36,100.0%,https://docs.google.com/spreadsheets/d/1bZKfQ08m16hIU8IS5wLP1VN6ypcnQZFEG_gcdOUmhcs
831,[Просчет-РФ] Запрос,36,36,100.0%,https://docs.google.com/spreadsheets/d/1yY9M5TL_2bWU18aQ251RyIJO9UlVZs9IhDmxfiRk_Dk
2494,[Просчет] Ольга Стародубцева Иллан / Расчет_рюкзак сумка бутылка часы отвертка колонка_300-3000_Норникель_КГИ_ММ 22-04-2025,36,36,100.0%,https://docs.google.com/spreadsheets/d/14jwOUvC4rGRwpoa5SsUiG4D53HetunciYznFa6Czwxg
707,[Просчет-РФ] Студия Артемия Лебедева. Товары и подарки.,36,36,100.0%,https://docs.google.com/spreadsheets/d/12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0
706,[Просчет] Лада Кузьминская / Новый Год_КГИ_ММ 09-04-2025,36,36,100.0%,https://docs.google.com/spreadsheets/d/1dENSnMUgzELGWYxrLEqkX7NgeWq4qjy-gDwarfyfBv8
1073,[Просчет-РФ] Полина / Велком пак на ивент - 700 шт 04-12-2024,36,36,100.0%,https://docs.google.com/spreadsheets/d/1fHSRAF3xwVHjm45OYtO_3pyiYTww-t-Hnh9g0EHqsjc
2379,"[Просчет-РФ] Шнур для телефона, картхолдер, набор чехол под наушники/карту/зеркало, очечник, чехол для ноута_200 000_Т-банк_КГИ",36,36,100.0%,https://docs.google.com/spreadsheets/d/1Mfxf_Xv96Wj9I6DXnNRrVN2LPOigdxp1m99EPptsORw
2973,[Просчет] Щербакова Ксюша / Расчет (Универсальная позиция)_Матрица на 2025 год_Яндекс Поиск_КГИ_ММ 28-11-2024,36,36,100.0%,https://docs.google.com/spreadsheets/d/14zifWkej7p_FmD3bPF3pdbqiUm7wicr__xYmnmFnZ8I
2805,[Просчет-РФ] Стелиан / 03-04-2025,36,36,100.0%,https://docs.google.com/spreadsheets/d/1VjBBtTxdqP5WNixYOyikXqwPHxoPRyjKo9WMdaozvKU
494,"[Просчет-РФ] Настя Яндекс Маркет/ Велком пак, геймификация",36,40,90.0%,https://docs.google.com/spreadsheets/d/13FG_SmbR5t-cco55zLiByrpZecfLN8MINkEJkTECCk8
1120,[Просчет] Дмитрий / Расчет_Бумажные пакеты_ВК_КГИ_М 11-12-2024,36,36,100.0%,https://docs.google.com/spreadsheets/d/1WINHpHEbQr1PZ6S6zBIeWFNON9KscfthvfspXK2Qw2I
2602,[Просчет-РФ] Компания АТОЛ. Внутренний тендер - новогодние подарки для клиентов и партнеров,36,42,85.7%,https://docs.google.com/spreadsheets/d/1yXn13o62a9VQ2zyTjNE1V0hAcZHTXOm573k7ak1_a3c
2895,[Просчет-РФ] Магнит сувенирная продукция,36,36,100.0%,https://docs.google.com/spreadsheets/d/1Ww6CVLQmg5ch5Tf94txsbphPldW44zmdsQvP-tCDvM0
779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,36,42,85.7%,https://docs.google.com/spreadsheets/d/1ENetO2PSSgnJjHh5nVJ_r7q4Q-frcxINuLAlN0Y6_Ds
2466,"[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Мышка, аккум, поднос/ваза в русском стиле_300/500/1000/3000_Ростелеком_КГИ_ММ 18-04-2025",36,66,54.5%,https://docs.google.com/spreadsheets/d/1WpQfmjm55goMuup-cmT_sS5a0qldavm5TfXMkPoAeYQ
197,[Просчет-РФ] Виктория Ципилева / подарки для пользователей Платинум в Тбанке 15-07-2025,36,36,100.0%,https://docs.google.com/spreadsheets/d/1ch8w3sTkHZJKyBDQuMj_2cNtOzjnkMLfk0IrIAWqzoI
3021,[Просчет] Полина Вальницкая / Расчет (Универсальная позиция)_матрица мерча_1000/3000/5000_Мостуризм_КГИ_ММ 04-10-2024,36,36,100.0%,https://docs.google.com/spreadsheets/d/1wWVEUUSj6Me4jls50SKV2qYUpcqMT3PKe4uE0FqFU_E
797,[Просчет-РФ] Фестивали_01.06.25,36,36,100.0%,https://docs.google.com/spreadsheets/d/11YJZDaYHLi8JXoswrvFWN79bOp1K2cRVKxhEt0ZFFpI
769,[Просчет-РФ] Гараж музей - снежные шары,36,36,100.0%,https://docs.google.com/spreadsheets/d/1urVl5QE1r0ePQYmJk1k7kfCpwHMPFnb29mqy9hLEsTU
761,[Просчет-РФ] Аня Иллан / КНАУФ,35,56,62.5%,https://docs.google.com/spreadsheets/d/1U0mraNEVKs2JKjS1ZiOPgU7J_ibfoJVLxVYc_q2dkXA
571,[Просчет] Лада Кузьминская / Ламы_ММ_КГИ 23-05-2025,34,36,94.4%,https://docs.google.com/spreadsheets/d/13emO_HtU5XVLGBJZz3RJ_PRz6xuVLAcqvL07ZyCujR0
1248,[Просчет-РФ] Екатерина Мишина Иллан / Подарки для девушек JTI 22-11-2024,34,34,100.0%,https://docs.google.com/spreadsheets/d/1OWnZ7znJHszXAfwIGEyyzkFHcAxDiOwb1rlRlpHMzCM
2384,[Просчет-РФ] Эльза / 03-06-2025,34,34,100.0%,https://docs.google.com/spreadsheets/d/1rMrPfh1elgLdZYlPBZNNnSAscqICm3cavXm4NrmSoLQ
1128,[Просчет-РФ] подарки,34,34,100.0%,https://docs.google.com/spreadsheets/d/1blRL5yT03sOBSY-6u7_97v9H_RYqA-FD2Wr_BJUhKpM
3140,[Просчет] Артем Василевский / JAECOO 27-09-2024,34,38,89.5%,https://docs.google.com/spreadsheets/d/1wkkKaJZuHfnRdj792SQQtRa2ptSLjZa89yst42p8Gog
155,"[Просчет] ООО ""ХЭДКОРН"" / Держатель Яндекс 24-07-2025",34,34,100.0%,https://docs.google.com/spreadsheets/d/1qFaJHqXdQsjPyrp-s9RCGapWV-uodSPJr_7NhYNkxu4
2677,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Аксессуары стикерная коллекция VK Store_ВК_КГИ_ММ 14-03-2025,34,44,77.3%,https://docs.google.com/spreadsheets/d/1igQA1aZxkkQ_myMRQQSHJakNNmEHMXy0wfygDDhz_hg
1209,[Просчет-РФ] Евгения / умные сувениры/HILTI/,34,34,100.0%,https://docs.google.com/spreadsheets/d/1Zz99IrAsXVV_YkeqEnfsuRyAlGep4JvYv1UT50WWKDQ
930,[Просчет-РФ] Запрос от компании WAVIoT.,33,45,73.3%,https://docs.google.com/spreadsheets/d/1NzGMZ_Wq-KJqsWKZwum4cfOirf6HCp8hqH53FXACKkA
1446,[Просчет] Лена Иллан / детские наборы для тендеров,33,33,100.0%,https://docs.google.com/spreadsheets/d/1a00_5e-0qTeit5Snqs6kDu3IOkqF_yNBJXMHBjTH3wM
626,"[Просчет] ООО ""КГИ"" / Расчет (Универсальная позиция)_Наушники_минимальный_Билайн_КГИ_MegaMind 05-06-2025",33,39,84.6%,https://docs.google.com/spreadsheets/d/1ierbKvbuw0p47UJTCMtjzdfV7ky3_UAeE7BsXEDeB8o
2932,[Просчет-РФ] Анна / Бьюти наборы - 1000/2000/3000 шт 16-01-2025,33,33,100.0%,https://docs.google.com/spreadsheets/d/1SjrWLg_wzUITeEOmEil9QGuOf4fBZfiuSJqMRCiaCmU
